timestamp,load_MW,temp_C,humidity,wind_speed,hour,day_of_week,is_weekend,zone_id
2025-09-30 00:00:00,869.0300015835725,24.9,92,5.9,0,1,False,Zone_A
2025-09-30 01:00:00,938.2313459225651,26.9,84,1.7,1,1,False,Zone_A
2025-09-30 02:00:00,943.2414155582406,27.7,83,2.8,2,1,False,Zone_A
2025-09-30 03:00:00,1060.458176259274,29.4,76,1.2,3,1,False,Zone_A
2025-09-30 04:00:00,1084.4311964672377,31.4,66,2.8,4,1,False,Zone_A
2025-09-30 05:00:00,1097.0533332562811,32.8,59,3.9,5,1,False,Zone_A
2025-09-30 06:00:00,1087.267531140116,33.5,54,4.1,6,1,False,Zone_A
2025-09-30 07:00:00,1129.0258618624334,34.2,52,5.2,7,1,False,Zone_A
2025-09-30 08:00:00,1078.5014735459906,33.9,52,5.1,8,1,False,Zone_A
2025-09-30 09:00:00,1104.7520395203262,34.0,52,3.2,9,1,False,Zone_A
2025-09-30 10:00:00,1019.6738242398818,32.7,54,3.1,10,1,False,Zone_A
2025-09-30 11:00:00,1004.6952769637576,32.5,55,3.7,11,1,False,Zone_A
2025-09-30 12:00:00,984.799657259296,32.3,58,2.9,12,1,False,Zone_A
2025-09-30 13:00:00,990.9862440165666,31.7,61,3.6,13,1,False,Zone_A
2025-09-30 14:00:00,896.229862182533,31.0,67,3.1,14,1,False,Zone_A
2025-09-30 15:00:00,893.4320986358712,30.8,68,1.5,15,1,False,Zone_A
2025-09-30 16:00:00,907.7330904528542,30.2,69,2.7,16,1,False,Zone_A
2025-09-30 17:00:00,828.4862191400696,29.6,73,3.0,17,1,False,Zone_A
2025-09-30 18:00:00,869.4762390571834,29.1,72,4.6,18,1,False,Zone_A
2025-09-30 19:00:00,845.2054476520772,28.6,74,4.4,19,1,False,Zone_A
2025-09-30 20:00:00,855.4239354130236,28.2,75,4.1,20,1,False,Zone_A
2025-09-30 21:00:00,834.4537406066762,27.8,77,4.3,21,1,False,Zone_A
2025-09-30 22:00:00,870.1011121820887,27.3,78,4.8,22,1,False,Zone_A
2025-09-30 23:00:00,843.2023392576232,26.8,82,3.4,23,1,False,Zone_A
2025-10-01 00:00:00,838.0572140419337,24.0,94,4.8,0,2,False,Zone_A
2025-10-01 01:00:00,882.2188163787371,24.1,94,1.7,1,2,False,Zone_A
2025-10-01 02:00:00,939.0077505587113,25.1,91,1.9,2,2,False,Zone_A
2025-10-01 03:00:00,990.5195320586934,26.8,84,1.3,3,2,False,Zone_A
2025-10-01 04:00:00,1014.5237313383745,28.3,76,2.7,4,2,False,Zone_A
2025-10-01 05:00:00,1018.9592995133537,29.8,68,1.8,5,2,False,Zone_A
2025-10-01 06:00:00,1028.224618979001,30.9,65,3.5,6,2,False,Zone_A
2025-10-01 07:00:00,1065.681912753697,32.0,60,2.2,7,2,False,Zone_A
2025-10-01 08:00:00,1079.7451356553497,32.8,55,1.1,8,2,False,Zone_A
2025-10-01 09:00:00,1042.9710975473251,33.0,52,1.9,9,2,False,Zone_A
2025-10-01 10:00:00,1033.6931500045237,30.9,62,9.5,10,2,False,Zone_A
2025-10-01 11:00:00,969.021812987531,28.0,77,6.5,11,2,False,Zone_A
2025-10-01 12:00:00,893.224009722476,27.5,76,2.8,12,2,False,Zone_A
2025-10-01 13:00:00,887.5334619821382,28.0,76,1.3,13,2,False,Zone_A
2025-10-01 14:00:00,846.1800579639136,28.0,81,1.8,14,2,False,Zone_A
2025-10-01 15:00:00,825.9233706989577,27.8,86,1.7,15,2,False,Zone_A
2025-10-01 16:00:00,868.9171628265233,27.9,85,1.4,16,2,False,Zone_A
2025-10-01 17:00:00,762.594317921716,27.6,80,3.8,17,2,False,Zone_A
2025-10-01 18:00:00,815.1871036381222,26.6,81,6.8,18,2,False,Zone_A
2025-10-01 19:00:00,794.8820980893961,26.9,79,6.0,19,2,False,Zone_A
2025-10-01 20:00:00,817.4341798859002,26.6,83,3.7,20,2,False,Zone_A
